,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
879,"['male', 'AT', 26, 'high school', 'No', 'other', 'No']","['male', 'AT', 27, 'not stated', 'No', 'other', 'No']","['male', 'AT', 28, 'high school', 'No', 'other', 'No']","['male', 'AT', 29, 'high school', 'No', 'other', 'No']","['male', 'AT', 30, 'high school', 'No', 'other', 'No']","['male', 'AT', 31, 'high school', 'No', 'other', 'No']","['male', 'AT', 32, 'high school', 'No', 'other', 'No']","['male', 'AT', 33, 'high school', 'No', 'other', 'No']","['male', 'AT', 34, 'high school', 'No', 'other', 'No']","['male', 'AT', 35, 'university', 'No', 'other', 'No']","['male', 'AT', 36, 'university', 'No', 'other', 'No']"
335,"['female', 'AT', 23, 'university', 'No', 'other', 'Yes']","['female', 'AT', 24, 'university', 'No', 'other', 'Yes']","['female', 'AT', 25, 'university', 'No', 'other', 'Yes']","['female', 'AT', 26, 'university', 'No', 'other', 'Yes']","['female', 'AT', 27, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 28, 'not stated', 'No', 'other', 'Yes']","['female', 'AT', 29, 'university', 'No', 'other', 'Yes']","['female', 'AT', 30, 'university', 'No', 'other', 'Yes']","['female', 'AT', 31, 'university', 'No', 'other', 'Yes']","['female', 'AT', 32, 'university', 'No', 'other', 'Yes']","['female', 'AT', 33, 'university', 'No', 'other', 'Yes']"
1020,"['female', 'AT', 36, 'Compulsory', 'No', 'other', 'No']","['female', 'AT', 37, 'university', 'No', 'other', 'No']","['female', 'AT', 38, 'not stated', 'No', 'other', 'No']","['female', 'AT', 39, 'university', 'No', 'other', 'No']","['female', 'AT', 40, 'university', 'No', 'other', 'No']","['female', 'AT', 41, 'university', 'No', 'other', 'No']","['female', 'AT', 42, 'not stated', 'No', 'other', 'No']","['female', 'AT', 43, 'not stated', 'No', 'other', 'No']","['female', 'AT', 44, 'university', 'No', 'other', 'No']","['female', 'AT', 45, 'university', 'No', 'other', 'No']","['female', 'AT', 46, 'university', 'No', 'other', 'No']"
1313,"['female', 'AT', 60, 'university', 'No', 'other', 'Yes']","['female', 'AT', 61, 'university', 'No', 'other', 'Yes']","['female', 'AT', 62, 'university', 'Yes', 'other', 'Yes']","['female', 'AT', 63, 'university', 'Yes', 'other', 'Yes']","['female', 'AT', 64, 'university', 'Yes', 'other', 'Yes']","['female', 'AT', 65, 'university', 'Yes', 'other', 'Yes']","['female', 'AT', 66, 'not stated', 'Yes', 'other', 'Yes']","['female', 'AT', 67, 'university', 'Yes', 'other', 'Yes']","['female', 'AT', 68, 'university', 'Yes', 'other', 'Yes']","['female', 'AT', 69, 'university', 'Yes', 'other', 'Yes']","['female', 'AT', 70, 'university', 'Yes', 'other', 'Yes']"
1194,"['male', 'AT', 39, 'not stated', 'No', 'other', 'No']","['male', 'AT', 40, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 41, 'Apprenticeship', 'No', 'other', 'No']","['male', 'AT', 42, 'university', 'No', 'other', 'No']","['male', 'AT', 43, 'university', 'No', 'other', 'No']","['male', 'AT', 44, 'university', 'No', 'other', 'No']","['male', 'AT', 45, 'university', 'No', 'other', 'No']","['male', 'AT', 46, 'university', 'No', 'other', 'No']","['male', 'AT', 47, 'university', 'No', 'other', 'No']","['male', 'AT', 48, 'university', 'No', 'other', 'No']","['male', 'AT', 49, 'university', 'No', 'other', 'No']"
649,"['male', 'AT', 86, 'university', 'Yes', 'other', 'No']","['male', 'AT', 87, 'university', 'Yes', 'other', 'No']","['male', 'AT', 88, 'not stated', 'Yes', 'other', 'No']","['male', 'AT', 89, 'not stated', 'Yes', 'other', 'No']","['male', 'AT', 90, 'not stated', 'Yes', 'other', 'No']","['male', 'AT', 91, 'university', 'Yes', 'other', 'No']","['male', 'AT', 92, 'university', 'Yes', 'other', 'No']","['male', 'AT', 93, 'university', 'Yes', 'other', 'No']","['male', 'AT', 94, 'not stated', 'Yes', 'other', 'No']","['male', 'AT', 95, 'not stated', 'Yes', 'other', 'No']","['male', 'AT', 96, 'university', 'Yes', 'other', 'No']"
596,"['female', 'AT', 60, 'not stated', 'Yes', 'other', 'Yes']","['female', 'AT', 61, 'not stated', 'Yes', 'other', 'Yes']","['female', 'AT', 62, 'Apprenticeship', 'Yes', 'other', 'Yes']","['female', 'AT', 63, 'not stated', 'Yes', 'other', 'Yes']","['female', 'AT', 64, 'Apprenticeship', 'Yes', 'other', 'Yes']","['female', 'AT', 65, 'Apprenticeship', 'Yes', 'other', 'Yes']","['female', 'AT', 66, 'Apprenticeship', 'Yes', 'other', 'Yes']","['female', 'AT', 67, 'university', 'Yes', 'other', 'Yes']","['female', 'AT', 68, 'university', 'Yes', 'other', 'Yes']","['female', 'AT', 69, 'university', 'Yes', 'other', 'Yes']","['female', 'AT', 70, 'not stated', 'Yes', 'other', 'Yes']"
1482,"['male', 'AT', 21, 'Compulsory', 'No', 'other', 'No']","['male', 'AT', 22, 'university', 'No', 'other', 'No']","['male', 'AT', 23, 'university', 'No', 'other', 'No']","['male', 'AT', 24, 'not stated', 'No', 'other', 'No']","['male', 'AT', 25, 'university', 'No', 'other', 'No']","['male', 'AT', 26, 'university', 'No', 'other', 'No']","['male', 'AT', 27, 'university', 'No', 'other', 'No']","['male', 'AT', 28, 'not stated', 'No', 'other', 'No']","['male', 'AT', 29, 'university', 'No', 'other', 'No']","['male', 'AT', 30, 'university', 'No', 'other', 'No']","['male', 'AT', 31, 'university', 'No', 'other', 'No']"
2095,"['female', 'AT', 18, 'university', 'No', 'other', 'No']","['female', 'AT', 19, 'university', 'No', 'other', 'No']","['female', 'AT', 20, 'not stated', 'No', 'other', 'No']","['female', 'AT', 21, 'university', 'No', 'other', 'No']","['female', 'AT', 22, 'university', 'No', 'other', 'No']","['female', 'AT', 23, 'university', 'No', 'other', 'No']","['female', 'AT', 24, 'university', 'No', 'other', 'No']","['female', 'AT', 25, 'university', 'No', 'other', 'No']","['female', 'AT', 26, 'not stated', 'No', 'other', 'No']","['female', 'AT', 27, 'university', 'No', 'other', 'No']","['female', 'AT', 28, 'university', 'No', 'other', 'No']"
1089,"['female', 'Non-EU', 58, 'Compulsory', 'No', 'other', 'Yes']","['female', 'Non-EU', 59, 'not stated', 'Yes', 'other', 'Yes']","['female', 'Non-EU', 60, 'Compulsory', 'Yes', 'other', 'Yes']","['female', 'Non-EU', 61, 'Apprenticeship', 'Yes', 'other', 'Yes']","['female', 'Non-EU', 62, 'high school', 'Yes', 'other', 'Yes']","['female', 'Non-EU', 63, 'high school', 'Yes', 'other', 'Yes']","['female', 'Non-EU', 64, 'high school', 'Yes', 'other', 'Yes']","['female', 'Non-EU', 65, 'high school', 'Yes', 'other', 'Yes']","['female', 'Non-EU', 66, 'not stated', 'Yes', 'other', 'Yes']","['female', 'Non-EU', 67, 'high school', 'Yes', 'other', 'Yes']","['female', 'Non-EU', 68, 'high school', 'Yes', 'other', 'Yes']"
