,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,"[1190, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1190, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1190, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1190, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1817, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[900, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2083, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2083, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2083, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2083, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
1,"[1817, 0.01999999999999999, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[1817, 0.01999999999999999, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[1817, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[1817, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[900, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2083, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[321, -0.16999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[321, -0.16999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[321, -0.18, [0, -0.05, -0.13, 0, 0, 0, 0]]","[321, -0.16999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]"
2,"[251, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[251, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1117, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[900, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2546, -0.7599999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0.17, 0]]","[321, -0.18, [0, -0.05, -0.13, 0, 0, 0, 0]]","[2012, -1.42, [0, -0.05, -0.7, 0, -0.67, 0, 0]]","[1840, -1.35, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[1840, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1840, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
3,"[1117, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[1117, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[900, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[2546, -1.04, [0, 0.16, -0.7, 0, -0.67, 0.17, 0]]","[2083, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[93, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1840, -0.6699999999999999, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[2752, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[2752, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[2752, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
4,"[2113, -0.83, [-0.14, 0.16, -0.7, 0, 0, 0, -0.15]]","[900, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[2738, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[912, -1.0699999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[266, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2012, -1.4100000000000001, [0, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[1614, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[486, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[486, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[486, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]"
5,"[408, -0.9299999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2738, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[2546, -0.7599999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0.17, 0]]","[2083, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[321, -0.16999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[270, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2752, -0.26, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[2670, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[2670, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2670, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
6,"[2579, -0.13, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[2546, -0.08999999999999989, [0, 0.16, -0.7, 0.28, 0, 0.17, 0]]","[912, -1.35, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[266, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[93, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1840, -0.6699999999999999, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[486, -0.9299999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2831, -1.5499999999999998, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[2831, -1.5499999999999998, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[2831, -1.5499999999999998, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, 0]]"
7,"[900, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[44, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2083, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[1491, -0.9299999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[0, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1614, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2670, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[226, -1.5, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[565, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[565, -1.5, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]"
8,"[472, -0.5299999999999999, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[912, -1.35, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[1001, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1694, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2012, -1.4100000000000001, [0, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[2752, 0.020000000000000018, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[2831, -1.5499999999999998, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[565, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[204, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[204, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
9,"[2738, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[2083, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[266, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2332, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[270, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2243, -0.11000000000000001, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[226, -1.4899999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[204, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[954, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[954, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
