,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,"[1801, -0.13, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[2505, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[1411, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1411, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1411, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1763, 0.020000000000000018, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[1763, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1763, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1763, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1763, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
1,"[1190, -0.05, [0, -0.05, 0, 0, 0, 0, 0]]","[1411, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[644, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[644, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1763, 0.020000000000000018, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[1005, -1.3199999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0.17, -0.15]]","[1005, -1.33, [-0.14, 0.16, -0.7, 0, -0.67, 0.17, -0.15]]","[1090, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[1090, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[1090, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]"
2,"[1817, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[408, 0.020000000000000018, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[1763, -0.26, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[1763, -0.26, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[1005, -1.0499999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0.17, -0.15]]","[322, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1298, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2332, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2332, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1798, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
3,"[251, -0.12, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[2579, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[44, -0.33999999999999997, [-0.14, -0.05, 0, 0, 0, 0, -0.15]]","[44, -0.05999999999999997, [-0.14, -0.05, 0, 0.28, 0, 0, -0.15]]","[322, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1298, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1090, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[1798, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1798, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1256, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
4,"[2505, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[644, 0.30000000000000004, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[1005, -1.0499999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0.17, -0.15]]","[1005, -1.0499999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0.17, -0.15]]","[1298, -1.35, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[1547, -1.35, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[2332, -0.5399999999999999, [0, 0.16, -0.7, 0, 0, 0, 0]]","[1268, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[1268, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2037, 0.44000000000000006, [0, 0.16, 0, 0.28, 0, 0, 0]]"
5,"[1411, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1763, -0.26, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[2144, -0.9299999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[322, -1.21, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[1547, -1.0699999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[1090, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1991, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2372, -0.16999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[1256, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1678, -0.5299999999999999, [0, 0.16, -0.7, 0.01, 0, 0, 0]]"
6,"[2113, 0.16, [0, 0.16, 0, 0, 0, 0, 0]]","[44, -0.05999999999999997, [-0.14, -0.05, 0, 0.28, 0, 0, -0.15]]","[322, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1298, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1090, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[2332, -0.5399999999999999, [0, 0.16, -0.7, 0, 0, 0, 0]]","[1798, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1256, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[547, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2501, -1.17, [-0.14, 0.16, -0.7, 0.01, -0.67, 0.17, 0]]"
7,"[408, -0.26, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[912, 0.30000000000000004, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[1298, -1.0699999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[1547, -1.35, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[2332, -0.5399999999999999, [0, 0.16, -0.7, 0, 0, 0, 0]]","[321, 0.020000000000000018, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[1268, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[547, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2301, -0.6699999999999999, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[1947, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]"
8,"[2579, 0.17, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2895, 0.30000000000000004, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[1547, -1.0699999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[1090, 0.03, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1820, -0.25, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[2967, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2372, -0.16999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[2301, -0.6699999999999999, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[351, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1735, 0.04, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
9,"[644, 0.30000000000000004, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[1005, -1.0499999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0.17, -0.15]]","[1090, 0.31000000000000005, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[152, -1.5, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[2525, 0.029999999999999992, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[1991, -1.2, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2523, -0.10000000000000002, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[351, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2037, 0.44000000000000006, [0, 0.16, 0, 0.28, 0, 0, 0]]","[2645, -1.3399999999999999, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
