,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,"[1801, -0.03, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[2505, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[1411, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1411, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1411, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1763, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[1763, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1763, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1763, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1763, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
1,"[1190, 0.05, [0, -0.05, 0, 0, 0, 0, 0]]","[1411, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[644, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[644, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1763, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[1005, -1.2199999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0.17, -0.15]]","[1005, -1.23, [-0.14, 0.16, -0.7, 0, -0.67, 0.17, -0.15]]","[1090, 0.41000000000000003, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[1090, 0.41000000000000003, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[1090, 0.41000000000000003, [0, 0.16, -0.13, 0.28, 0, 0, 0]]"
2,"[1817, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[408, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[1763, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[1763, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[1005, -0.9499999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0.17, -0.15]]","[322, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1298, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2332, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2332, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1798, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
3,"[251, -0.01999999999999999, [-0.14, 0.16, 0, 0.01, 0, 0, -0.15]]","[2579, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[44, -0.23999999999999996, [-0.14, -0.05, 0, 0, 0, 0, -0.15]]","[44, 0.040000000000000036, [-0.14, -0.05, 0, 0.28, 0, 0, -0.15]]","[322, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1298, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1090, 0.41000000000000003, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[1798, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1798, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1256, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
4,"[2505, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[644, 0.4, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[1005, -0.9499999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0.17, -0.15]]","[1005, -0.9499999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0.17, -0.15]]","[1298, -1.25, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[1547, -1.25, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[2332, -0.43999999999999995, [0, 0.16, -0.7, 0, 0, 0, 0]]","[1268, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[1268, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2037, 0.54, [0, 0.16, 0, 0.28, 0, 0, 0]]"
5,"[1411, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1763, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[2144, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[322, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[1547, -0.9699999999999999, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[1090, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1991, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2372, -0.06999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[1256, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1678, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]"
6,"[2113, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[44, 0.040000000000000036, [-0.14, -0.05, 0, 0.28, 0, 0, -0.15]]","[322, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1298, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1090, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[2332, -0.43999999999999995, [0, 0.16, -0.7, 0, 0, 0, 0]]","[1798, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1256, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[547, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2501, -1.0699999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0.17, 0]]"
7,"[408, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[912, 0.4, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[1298, -0.9699999999999999, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[1547, -1.25, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[2332, -0.43999999999999995, [0, 0.16, -0.7, 0, 0, 0, 0]]","[321, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[1268, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[547, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2301, -0.57, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[1947, 0.41000000000000003, [0, 0.16, -0.13, 0.28, 0, 0, 0]]"
8,"[2579, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2895, 0.4, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[1547, -0.9699999999999999, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[1090, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[1820, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[2967, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2372, -0.06999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[2301, -0.57, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[351, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1735, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
9,"[644, 0.4, [-0.14, 0.16, 0, 0.28, 0, 0, 0]]","[1005, -0.9499999999999998, [-0.14, 0.16, -0.7, 0.28, -0.67, 0.17, -0.15]]","[1090, 0.41000000000000003, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[152, -1.4, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[2525, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[1991, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2523, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[351, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2037, 0.54, [0, 0.16, 0, 0.28, 0, 0, 0]]","[2645, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
