,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,"[1190, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1190, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1190, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1190, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[1817, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[900, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2083, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2083, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2083, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2083, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
1,"[1817, 0.12, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[1817, 0.12, [-0.14, 0.16, 0, 0, 0, 0, 0]]","[1817, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[1817, 0.13, [-0.14, 0.16, 0, 0.01, 0, 0, 0]]","[900, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2083, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[321, -0.06999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[321, -0.06999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[321, -0.07999999999999999, [0, -0.05, -0.13, 0, 0, 0, 0]]","[321, -0.06999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]"
2,"[251, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[251, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1117, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[900, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[2546, -0.6599999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0.17, 0]]","[321, -0.07999999999999999, [0, -0.05, -0.13, 0, 0, 0, 0]]","[2012, -1.3199999999999998, [0, -0.05, -0.7, 0, -0.67, 0, 0]]","[1840, -1.25, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[1840, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[1840, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]"
3,"[1117, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[1117, -1.0999999999999999, [0, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[900, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[2546, -0.9400000000000001, [0, 0.16, -0.7, 0, -0.67, 0.17, 0]]","[2083, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[93, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1840, -0.57, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[2752, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[2752, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[2752, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
4,"[2113, -0.73, [-0.14, 0.16, -0.7, 0, 0, 0, -0.15]]","[900, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[2738, 0.41000000000000003, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[912, -0.9699999999999999, [-0.14, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[266, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2012, -1.31, [0, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[1614, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[486, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[486, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]","[486, -1.1099999999999999, [0, 0.16, -0.7, 0, -0.67, 0, 0]]"
5,"[408, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2738, 0.41000000000000003, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[2546, -0.6599999999999999, [0, 0.16, -0.7, 0.28, -0.67, 0.17, 0]]","[2083, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[321, -0.06999999999999998, [0, -0.05, -0.13, 0.01, 0, 0, 0]]","[270, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2752, -0.16, [-0.14, 0.16, -0.13, 0, 0, 0, -0.15]]","[2670, 0.13, [0, 0.16, -0.13, 0, 0, 0, 0]]","[2670, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2670, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
6,"[2579, -0.03, [-0.14, 0.16, 0, 0, 0, 0, -0.15]]","[2546, 0.01000000000000012, [0, 0.16, -0.7, 0.28, 0, 0.17, 0]]","[912, -1.25, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[266, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[93, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1840, -0.57, [-0.14, 0.16, -0.7, 0.01, 0, 0, 0]]","[486, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[2831, -1.4499999999999997, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[2831, -1.4499999999999997, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[2831, -1.4499999999999997, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, 0]]"
7,"[900, 0.26, [0, 0.16, 0, 0, 0, 0, 0]]","[44, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2083, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[1491, -0.83, [0, 0.16, -0.7, 0.28, -0.67, 0, 0]]","[0, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[1614, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[2670, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[226, -1.4, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]","[565, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[565, -1.4, [-0.14, 0.16, -0.7, 0, -0.67, 0, -0.15]]"
8,"[472, -0.42999999999999994, [0, 0.16, -0.7, 0.01, 0, 0, 0]]","[912, -1.25, [-0.14, 0.16, -0.7, 0, -0.67, 0, 0]]","[1001, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[1694, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[2012, -1.31, [0, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[2752, 0.12000000000000002, [-0.14, 0.16, -0.13, 0.28, 0, 0, -0.15]]","[2831, -1.4499999999999997, [-0.14, -0.05, -0.7, 0.01, -0.67, 0, 0]]","[565, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[204, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[204, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]"
9,"[2738, 0.41000000000000003, [0, 0.16, -0.13, 0.28, 0, 0, 0]]","[2083, 0.27, [0, 0.16, 0, 0.01, 0, 0, 0]]","[266, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[2332, -1.2399999999999998, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, 0]]","[270, -1.3877787807814457e-17, [-0.14, 0.16, -0.13, 0.01, 0, 0, 0]]","[2243, -0.010000000000000009, [-0.14, 0.16, -0.13, 0, 0, 0, 0]]","[226, -1.3899999999999997, [-0.14, 0.16, -0.7, 0.01, -0.67, 0, -0.15]]","[204, 0.14, [0, 0.16, -0.13, 0.01, 0, 0, 0]]","[954, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]","[954, -0.15, [-0.14, 0.16, -0.13, 0.01, 0, 0, -0.15]]"
